age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
65,4,104273,11,4,6,1,4,1,0,0,21,39,0
20,4,326182,0,4,12,1,4,0,0,0,11,39,0
32,4,133328,11,2,8,0,4,1,0,0,40,26,0
42,4,261310,11,5,1,4,2,0,0,0,40,39,0
32,4,133328,9,2,4,0,4,1,0,0,40,39,0
20,4,104273,15,4,6,3,4,1,0,0,21,39,0
20,0,181689,15,4,0,3,4,0,0,0,21,39,0
51,4,181689,11,2,12,0,4,1,0,0,40,39,0
41,1,181689,11,4,1,4,4,0,0,0,40,39,0
20,4,213724,11,4,7,3,4,0,0,1624,45,39,0
26,4,213724,9,4,10,3,4,1,0,0,40,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
26,4,326182,15,4,12,1,4,1,0,0,45,26,0
46,2,181689,11,0,8,2,2,0,0,0,40,39,0
32,4,213724,11,4,13,4,4,0,0,0,36,39,0
46,4,133328,15,0,3,1,4,1,0,0,58,39,0
26,7,104273,11,4,1,3,4,0,0,0,40,39,0
20,4,387142,0,4,8,3,2,1,0,0,21,39,0
26,4,387142,4,2,7,2,4,0,0,0,40,26,0
32,4,133328,10,2,10,0,4,1,0,1986,11,39,1
51,4,181689,9,0,10,1,4,0,0,1624,40,39,0
58,4,261310,9,2,4,0,4,1,0,0,45,39,1
32,7,387142,11,5,1,4,4,0,0,0,21,39,0
20,4,40166,15,4,4,1,2,1,0,0,45,39,0
46,4,213724,9,2,4,0,4,1,99538,0,58,39,1
26,4,104273,11,0,1,2,4,0,0,0,40,39,0
26,4,213724,0,4,1,3,4,1,0,0,58,39,0
37,4,133328,9,2,10,0,4,1,0,0,45,39,0
58,6,104273,15,2,5,0,4,1,0,0,58,39,0
42,4,261310,11,2,3,0,4,1,0,0,45,39,1
20,4,181689,0,4,12,3,4,0,0,0,11,39,0
51,4,213724,5,2,7,5,4,0,0,0,40,39,0
37,4,181689,15,2,3,0,4,1,0,0,45,39,1
32,4,261310,11,0,4,1,4,1,0,0,58,39,0
27,2,261310,15,2,8,0,4,1,0,0,40,39,0
32,4,387142,12,2,4,0,4,1,0,1986,58,39,1
26,4,213724,15,4,1,1,4,0,0,0,40,39,0
26,4,40166,11,0,8,1,4,0,0,0,21,39,0
37,4,387142,11,2,8,2,2,1,0,0,40,39,0
26,2,181689,11,4,1,3,4,0,0,0,36,39,0
47,4,104273,0,6,8,4,2,0,0,0,21,39,0
59,6,261310,11,2,14,0,4,1,0,0,45,39,1
62,0,181689,11,6,0,1,4,0,0,0,11,39,0
37,2,104273,15,4,8,1,4,1,0,0,45,39,0
32,4,181689,9,2,4,5,4,0,0,0,40,39,1
65,5,181689,9,2,4,0,4,1,0,1986,40,39,1
37,4,326182,9,2,10,0,4,1,0,0,40,39,1
26,0,181689,15,4,0,3,2,0,0,0,11,39,0
58,7,104273,15,4,8,4,2,0,0,0,21,39,0
