age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
26,6,40166,9,2,6,3,4,1,0,0,58,39,0
41,4,261310,11,6,6,1,4,1,0,0,36,39,0
51,4,387142,3,2,3,0,4,1,0,1890,45,39,0
32,4,261310,0,2,1,5,4,0,0,0,36,39,0
46,4,261310,0,2,12,3,4,0,0,0,36,39,0
32,4,387142,0,4,4,1,4,1,0,0,45,39,0
70,4,387142,7,3,1,1,4,1,0,0,11,39,0
20,6,326182,0,4,5,3,4,1,0,0,21,39,0
32,4,181689,0,2,1,5,4,0,0,0,45,39,0
65,4,261310,3,6,8,5,4,0,0,0,40,39,0
26,6,181689,9,2,10,0,4,1,0,0,50,39,0
65,6,181689,11,5,1,4,4,0,0,0,40,39,0
37,4,387142,15,4,1,1,4,1,0,0,36,39,0
26,4,326182,3,5,3,3,4,0,0,0,40,39,0
41,4,326182,9,0,7,4,4,1,0,0,45,39,0
20,4,326182,15,4,12,1,4,1,0,0,80,39,0
37,2,181689,15,4,1,1,4,1,0,0,50,39,0
41,5,326182,7,2,13,0,4,1,0,1986,50,39,1
26,4,326182,11,5,6,3,4,0,0,0,40,39,0
20,4,326182,1,4,1,3,4,0,0,0,11,39,0
37,1,387142,7,2,1,5,4,0,0,0,40,39,0
46,1,181689,15,4,5,1,4,1,0,0,80,39,0
65,6,181689,0,2,3,0,4,1,0,0,80,39,0
65,5,326182,9,2,4,0,4,1,0,0,45,39,1
26,4,261310,11,2,6,3,4,1,0,0,58,39,0
46,4,181689,11,5,12,2,4,1,0,0,58,39,0
65,6,326182,15,2,5,0,4,1,0,0,50,39,0
46,4,261310,0,5,8,3,4,0,0,0,36,39,0
20,4,181689,11,2,12,3,4,0,0,0,36,39,0
37,5,40166,0,2,3,0,4,1,0,0,80,39,0
46,4,387142,11,2,3,0,4,1,0,1890,50,39,0
51,4,213724,10,6,4,4,2,1,0,0,40,39,0
32,4,326182,11,6,6,1,4,1,0,0,40,39,0
41,4,387142,9,5,10,4,4,1,0,0,45,39,0
26,5,261310,11,2,3,0,4,1,0,0,80,39,0
65,4,181689,7,2,10,5,4,0,0,0,45,39,0
65,5,181689,11,2,12,0,4,1,0,0,36,39,0
65,4,261310,0,3,1,5,4,0,0,0,40,39,0
58,4,181689,11,2,8,5,4,0,0,0,45,39,0
37,2,213724,0,4,5,1,4,1,0,0,50,39,0
26,4,261310,11,2,1,5,4,0,0,0,36,39,0
51,4,213724,11,2,6,2,4,0,0,0,45,39,0
41,6,40166,11,2,6,3,4,1,0,0,21,39,0
65,4,261310,0,5,1,4,4,0,0,0,40,39,0
65,6,326182,0,2,5,0,4,1,0,0,45,39,1
65,4,181689,11,3,8,5,2,0,0,0,40,39,0
20,4,181689,0,4,12,3,4,1,0,0,11,39,0
51,4,181689,7,5,12,4,4,0,0,0,45,39,0
46,6,261310,0,4,3,1,4,1,0,0,11,39,0
26,4,387142,7,0,1,1,4,1,0,0,45,39,0
41,4,326182,0,2,7,0,4,1,0,0,45,39,0
58,4,181689,0,5,1,4,4,0,0,0,36,39,0
32,4,261310,0,3,6,1,4,0,0,0,36,39,0
20,6,387142,1,4,6,3,4,1,0,0,36,39,0
26,4,261310,0,6,1,4,4,0,0,0,45,39,0
41,4,104273,7,2,7,1,4,0,0,0,40,39,0
65,6,181689,10,2,10,0,4,1,0,0,80,39,0
65,6,181689,11,2,5,0,4,1,0,0,80,39,0
46,6,181689,9,5,1,1,4,1,0,0,45,39,0
32,4,261310,0,5,6,4,4,0,0,0,36,39,0
51,4,261310,0,2,3,0,4,1,0,0,45,39,0
65,4,261310,10,2,10,5,4,0,0,0,36,39,0
41,1,326182,7,2,3,0,4,1,0,0,40,39,0
65,4,261310,3,2,8,5,4,0,0,0,40,39,0
51,5,326182,7,2,12,0,4,1,0,0,80,39,0
51,4,181689,9,4,12,1,4,0,0,0,80,39,0
32,6,326182,10,2,10,0,4,1,0,1986,11,39,1
51,4,181689,11,3,4,1,4,1,0,2333,40,39,0
32,6,181689,10,4,12,3,4,1,0,0,21,39,0
26,4,387142,7,3,1,5,4,0,0,0,45,39,0
46,2,181689,8,4,5,4,4,1,0,0,11,39,0
51,4,261310,0,6,6,2,4,1,0,0,36,39,0
65,4,213724,11,2,1,3,4,0,0,0,36,39,0
46,4,181689,11,2,3,0,4,1,0,1890,50,39,1
46,4,387142,3,5,3,1,4,1,0,0,40,26,0
