Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,PersonalLoan
25,1,49,83,4,1.6,1,0,1,0,0,0,0
45,19,34,34,3,1.5,1,0,1,0,0,0,0
39,15,11,367,1,1.0,1,0,0,0,0,0,0
35,9,100,298,1,2.7,2,0,0,0,0,0,0
35,8,45,96,4,1.0,2,0,0,0,0,1,0
37,13,29,160,4,0.4,2,155,0,0,1,0,0
53,27,72,115,2,1.5,2,0,0,0,1,0,0
50,24,22,267,1,0.3,3,0,0,0,0,1,0
35,10,81,34,3,0.6,2,104,0,0,1,0,0
34,9,180,235,1,8.9,3,0,0,0,0,0,1
65,39,105,366,4,2.4,3,0,0,0,0,0,0
29,5,45,47,3,0.1,2,0,0,0,1,0,0
48,23,114,241,2,3.8,3,0,1,0,0,0,0
59,32,40,373,4,2.5,2,0,0,0,1,0,0
67,41,112,117,1,2.0,1,0,1,0,0,0,0
60,30,22,397,1,1.5,3,0,0,0,1,1,0
38,14,130,386,4,4.7,3,134,0,0,0,0,1
42,18,81,316,4,2.4,1,0,0,0,0,0,0
46,21,193,109,2,8.1,3,0,0,0,0,0,1
55,28,21,367,1,0.5,2,0,1,0,0,1,0
56,31,25,273,4,0.9,2,111,0,0,1,0,0
57,27,63,35,3,2.0,3,0,0,0,1,0,0
29,5,62,47,1,1.2,1,260,0,0,1,0,0
44,18,43,94,2,0.7,1,163,1,0,0,0,0
36,11,152,428,2,3.9,1,159,0,0,0,1,0
43,19,29,316,3,0.5,1,97,0,0,1,0,0
40,16,83,399,4,0.2,3,0,0,0,0,0,0
46,20,158,27,1,2.4,1,0,0,0,1,1,0
56,30,48,330,1,2.2,3,0,0,0,1,1,0
38,13,119,291,1,3.3,2,0,0,1,1,1,1
59,35,35,241,1,1.2,3,122,0,0,1,0,0
40,16,29,302,1,2.0,2,0,0,0,1,0,0
53,28,41,368,2,0.6,3,193,0,0,0,0,0
30,6,18,96,3,0.9,3,0,0,0,0,0,0
31,5,50,279,4,1.8,3,0,0,0,1,0,0
48,24,81,197,3,0.7,1,0,0,0,0,0,0
59,35,121,367,1,2.9,1,0,0,0,0,1,0
51,25,71,441,1,1.4,3,198,0,0,0,0,0
42,18,141,299,3,5.0,3,0,1,1,1,0,1
38,13,80,300,4,0.7,3,285,0,0,1,0,0
57,32,84,202,3,1.6,3,0,1,0,0,0,0
34,9,60,304,3,2.3,1,0,0,0,0,0,0
32,7,132,7,4,1.1,2,412,0,0,1,0,1
39,15,45,430,1,0.7,1,0,0,0,1,0,0
46,20,104,284,1,5.7,1,0,0,0,1,1,0
57,31,52,367,4,2.5,1,0,0,0,0,1,0
39,14,43,387,3,0.7,2,153,0,0,1,0,0
37,12,194,106,4,0.2,3,211,1,1,1,1,1
56,26,81,437,2,4.5,3,0,0,0,0,1,0
40,16,49,182,1,1.8,1,0,0,0,0,1,0
32,8,8,149,4,0.7,2,0,1,0,1,0,0
61,37,131,367,1,2.9,1,0,0,0,1,0,0
30,6,72,271,1,0.1,1,207,0,0,0,0,0
50,26,190,40,3,2.1,3,240,0,0,1,0,1
29,5,44,445,1,0.2,3,0,0,0,1,0,0
41,17,139,275,2,8.0,1,0,0,0,1,0,0
55,30,29,271,3,0.1,2,0,1,1,1,0,0
56,31,131,430,2,1.2,3,0,0,0,0,0,1
28,2,93,284,2,0.2,1,0,0,0,0,0,0
31,5,188,94,2,4.5,1,455,0,0,0,0,0
49,24,39,52,3,1.7,2,0,1,0,1,0,0
47,21,125,253,1,5.7,1,112,1,0,0,0,0
42,18,22,34,1,1.0,1,0,0,0,0,0,0
42,17,32,325,4,0.0,2,0,0,0,1,0,0
47,23,105,8,2,3.3,1,0,0,0,0,0,0
59,35,131,102,1,3.8,1,0,0,0,1,1,0
62,36,105,434,2,2.8,1,336,0,0,0,0,0
53,23,45,403,4,2.0,3,132,1,0,0,0,0
47,21,60,253,3,2.1,1,0,0,0,1,1,0
53,29,20,21,4,0.2,1,0,0,0,1,0,0
42,18,115,97,1,3.5,1,0,0,0,0,1,0
53,29,69,264,4,1.0,2,0,0,0,1,0,0
44,20,130,135,1,5.0,1,0,0,0,0,1,0
