Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,PersonalLoan
54,26,114,36.92369889145156,1,3.608242285784231,3,149,0,0,0,0,0
43,22,81,338.4241200889943,1,3.6082422859474,3,0,0,0,0,0,0
51,26,81,338.4241200889943,1,3.6082422860562047,3,0,0,0,0,0,0
39,22,45,338.4241200889943,3,2.4930156713202822,3,0,0,0,1,0,0
51,22,26,36.92369889145156,3,0.8223065208246898,2,0,0,0,1,0,0
43,12,81,338.4241200889943,1,0.29771107479803527,1,0,0,0,1,0,0
39,12,45,297.91853049517374,1,0.8223065208188333,1,283,0,0,0,0,0
51,36,45,151.10074043900542,1,2.4930156653526643,1,0,1,0,0,1,0
43,12,81,338.4241200889943,1,2.493015665352419,1,0,0,0,0,0,0
43,26,45,151.10074043900542,1,2.493015665352421,3,0,0,0,0,1,0
51,26,45,36.92369889145156,3,0.8223065208188653,2,0,1,0,1,0,0
43,12,114,338.4241200889943,3,2.4930156665247045,2,0,0,0,1,1,0
39,22,45,297.91853049517374,3,0.8223065210549679,3,283,0,1,1,1,0
39,17,45,297.91853049517374,1,1.6724294379777649,1,0,0,1,1,1,0
54,36,45,297.91853049517374,4,2.4930156654546094,3,0,0,0,0,1,0
43,12,81,338.4241200889943,1,2.4930156653524196,1,0,0,0,0,0,0
43,26,114,417.13865888278247,3,3.6082423048814882,3,202,0,0,1,0,1
43,12,114,297.91853049517374,1,2.493015665352419,1,0,0,0,0,0,0
54,26,114,297.91853049517374,3,3.6082422939891456,1,149,0,0,0,0,1
39,12,81,338.4241200889943,4,2.4930156755827593,3,0,0,0,1,0,0
43,17,45,297.91853049517374,3,0.8223065208188565,2,0,1,0,1,0,0
43,12,81,297.91853049517374,4,2.4930156653533557,1,0,0,0,1,1,0
43,12,114,36.92369889145156,3,6.364588438271528,1,0,0,0,1,0,1
54,31,81,297.91853049517374,1,2.493015665354093,1,0,0,0,0,0,0
30,5,45,297.91853049517374,4,1.6724294379772737,3,0,0,0,0,0,0
39,12,45,338.4241200889943,3,2.493015674577098,2,0,0,0,1,0,0
43,22,45,297.91853049517374,3,0.8223065208192444,2,0,0,1,1,1,0
43,12,81,36.92369889145156,3,3.608242285788174,2,0,0,1,1,1,0
43,17,81,338.4241200889943,1,0.8223065208196376,1,0,0,0,0,0,0
43,26,114,338.4241200889943,1,3.6082424388343783,2,202,0,0,1,0,1
43,12,81,338.4241200889943,3,0.8223065208306414,3,0,1,0,0,0,0
39,22,45,338.4241200889943,2,0.8223065208367529,3,0,0,0,0,0,0
43,22,81,417.13865888278247,3,3.6082422871877573,2,0,1,0,1,0,0
51,26,81,151.10074043900542,1,2.4930156653524747,1,0,0,0,0,1,0
30,12,81,36.92369889145156,3,2.493015665352903,2,0,0,0,1,0,0
51,22,81,36.92369889145156,1,1.6724294379772717,1,0,0,0,0,0,0
30,12,45,297.91853049517374,3,0.8223065211807286,3,197,0,0,1,1,0
51,26,45,297.91853049517374,1,0.8223065217250134,3,0,0,0,1,0,0
39,17,81,338.4241200889943,3,0.822306520818962,2,0,1,0,0,0,0
43,22,114,36.92369889145156,1,6.3645884381914,1,283,0,0,0,0,0
39,22,26,151.10074043900542,1,0.8223065210384903,3,0,0,1,1,1,0
43,17,81,338.4241200889943,3,3.6082422857894514,2,0,1,0,0,0,0
43,26,81,151.10074043900542,4,2.493015665352539,1,0,1,0,0,1,0
43,12,167,151.10074043900542,3,6.364588438420027,1,0,0,0,1,1,1
54,36,45,297.91853049517374,3,2.493016697227225,3,203,0,0,0,0,0
39,12,81,338.4241200889943,4,2.493015665353053,3,0,0,0,1,1,0
39,12,45,338.4241200889943,1,1.6724294379772717,1,0,0,0,0,0,0
43,22,81,36.92369889145156,1,2.493015665352419,1,0,0,0,0,0,0
