age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
65,4,104273,11,4,6,1,4,1,0,0,40,39,0
20,4,326182,15,4,12,2,4,0,0,0,11,39,0
26,4,133328,11,2,8,0,4,1,0,0,40,39,0
37,4,133328,11,6,1,4,2,0,0,0,40,39,0
32,4,181689,9,2,4,0,4,1,0,0,40,39,0
20,4,104273,15,4,6,3,4,1,0,0,58,39,0
20,0,326182,15,4,0,3,4,0,0,0,40,39,0
32,4,213724,11,2,12,0,4,1,0,0,40,39,0
46,2,181689,11,4,1,4,4,0,0,0,40,39,0
20,4,181689,11,4,6,3,4,0,0,1624,11,39,0
26,4,261310,9,4,10,3,4,1,0,0,40,39,0
51,4,326182,15,0,4,1,4,0,0,0,58,39,0
26,4,261310,8,4,12,1,4,1,0,0,45,26,0
51,2,181689,11,0,8,4,2,0,0,0,40,39,0
37,4,213724,11,4,6,4,4,0,0,0,40,39,0
46,4,387142,15,0,3,1,4,1,24595,0,58,39,1
26,7,133328,11,4,1,3,4,0,0,0,40,39,0
20,4,326182,0,4,8,3,2,1,0,0,40,39,0
51,4,326182,11,0,7,2,4,0,0,0,40,26,0
37,4,104273,10,2,10,0,4,1,0,1890,45,39,1
46,4,181689,8,0,10,1,4,0,0,1624,40,39,0
51,4,326182,9,2,4,0,4,1,0,0,45,39,1
32,7,326182,11,6,1,4,4,0,0,0,40,39,0
20,4,40166,15,4,4,1,2,1,0,0,40,39,0
46,4,213724,9,2,4,0,4,1,99538,0,58,39,1
26,4,133328,11,0,4,4,4,0,0,0,40,39,0
26,4,213724,8,4,1,3,4,1,0,0,58,39,0
37,4,104273,9,2,10,0,4,1,0,0,45,39,0
58,6,104273,15,2,5,0,4,1,0,0,58,39,0
46,4,213724,11,2,3,0,4,1,0,0,45,39,1
20,4,181689,0,4,12,3,4,0,0,0,11,39,0
51,4,261310,15,2,7,5,4,0,0,0,40,39,0
46,4,213724,15,2,3,0,4,1,0,0,45,39,1
32,4,261310,11,0,4,1,4,1,0,0,58,39,0
26,2,213724,15,2,8,0,4,1,0,0,40,39,0
37,4,326182,12,2,4,0,4,1,0,0,58,39,1
32,4,213724,15,4,1,1,4,0,0,0,40,39,0
32,4,40166,11,0,8,1,4,0,0,0,58,39,0
37,4,261310,11,2,8,2,2,1,0,0,40,39,0
32,2,181689,11,4,14,3,4,0,0,0,40,39,0
65,4,104273,6,6,8,4,4,0,0,0,11,39,0
65,6,261310,11,2,14,0,4,1,0,0,45,39,1
58,0,181689,11,6,0,1,4,0,0,0,11,39,0
37,2,40166,15,4,8,1,4,1,0,0,45,39,0
32,4,181689,9,2,4,5,4,0,0,0,40,39,1
51,5,181689,9,2,4,0,4,1,0,0,40,39,1
37,4,326182,9,2,10,0,4,1,0,0,40,39,1
26,0,133328,15,4,0,3,2,0,0,0,40,39,0
37,7,104273,15,4,13,4,2,0,0,0,40,39,0
26,4,40166,15,4,13,1,2,1,0,0,40,39,0
37,4,181689,12,2,10,0,2,1,0,0,40,39,1
58,0,326182,11,2,0,0,4,1,0,0,40,39,0
20,4,261310,15,4,1,3,4,1,0,0,11,39,0
26,4,326182,9,2,4,0,4,1,0,0,40,39,1
32,4,213724,15,2,11,0,2,1,0,0,40,39,0
32,0,326182,11,4,0,4,2,0,0,0,40,39,0
46,2,181689,9,2,1,0,4,1,0,0,40,39,1
65,4,40166,9,2,4,0,4,1,0,0,58,39,1
58,0,181689,11,2,0,0,4,1,0,0,40,39,0
37,4,181689,11,0,7,1,4,0,0,0,40,39,0
37,4,181689,12,2,4,0,4,1,0,0,40,39,0
26,4,133328,15,4,12,1,4,0,0,0,40,39,0
51,4,181689,8,2,4,0,4,1,0,0,40,39,0
37,5,133328,11,2,3,0,4,1,0,1624,40,39,0
51,6,326182,12,2,12,0,4,1,0,0,40,39,1
37,6,181689,12,4,13,1,4,0,0,0,58,39,0
46,4,387142,15,0,8,4,4,0,0,0,40,39,0
51,4,181689,9,2,4,0,4,1,0,1890,40,39,1
26,4,213724,9,4,12,1,4,0,0,0,40,39,0
32,4,133328,8,2,12,0,4,1,0,0,40,39,0
51,4,104273,15,2,5,0,4,1,0,0,40,26,0
26,4,213724,15,4,6,1,4,1,0,0,40,26,0
58,4,104273,11,2,6,0,4,1,0,0,40,39,0
51,4,326182,15,2,3,0,4,1,0,0,40,39,0
32,4,213724,15,4,8,1,4,0,0,0,58,39,0
46,4,104273,12,6,4,4,4,0,0,0,45,39,0
26,4,133328,11,4,8,3,4,0,0,0,58,39,0
32,4,261310,11,2,3,0,4,1,0,0,40,39,1
51,0,133328,15,2,0,0,4,1,0,0,11,39,0
51,4,261310,15,2,1,0,4,1,0,0,40,39,1
65,4,213724,11,2,8,5,4,0,0,0,40,39,0
37,4,181689,11,2,1,5,2,0,0,0,40,39,0
51,4,181689,0,2,6,0,4,1,0,0,40,39,0
58,7,213724,11,2,4,5,4,0,14824,0,40,39,1
20,4,181689,11,4,5,3,4,1,0,0,40,39,0
26,7,133328,9,4,4,1,4,0,0,0,40,39,0
37,6,261310,15,2,8,0,4,1,0,0,58,39,0
37,4,40166,15,2,7,0,4,1,0,0,40,39,0
58,4,213724,15,0,1,1,4,1,0,0,40,39,0
46,2,181689,9,4,10,1,4,0,0,0,40,39,0
32,4,213724,11,2,14,0,4,1,0,0,40,39,0
26,4,213724,11,2,7,0,4,1,0,0,40,39,0
65,4,181689,11,2,4,0,4,1,0,0,58,39,1
32,7,181689,12,2,10,0,4,1,0,0,40,39,1
32,6,181689,9,2,12,0,4,1,0,0,40,39,1
26,4,181689,15,4,6,1,4,1,0,0,40,26,0
51,5,181689,9,2,10,0,4,1,0,0,40,39,0
