Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,PersonalLoan
51,26,81,151.10074043900542,2,2.493015665352419,1,0,0,0,1,0,0
43,17,26,151.10074043900542,1,0.29771107479556413,3,0,0,0,1,0,0
30,5,26,36.92369889145156,1,0.29771107479556413,2,102,0,0,1,0,0
30,5,26,36.92369889145156,2,0.29771107479556413,1,0,0,0,1,1,0
51,36,45,151.10074043900542,4,0.29771107479556413,1,0,0,0,0,0,0
39,5,45,36.92369889145156,1,2.493015665352419,1,0,0,0,1,1,0
30,5,45,151.10074043900542,2,1.672429437977272,3,0,0,0,0,1,0
61,36,114,36.92369889145156,1,2.493015665352419,3,0,0,0,1,1,0
30,12,81,338.4241200889943,1,2.493015665352419,1,197,0,0,0,1,0
43,17,26,151.10074043900542,3,0.29771107479556413,3,0,0,0,1,0,0
43,12,45,417.13865888278247,2,2.493015665352419,2,0,0,0,1,0,0
51,36,81,151.10074043900542,2,0.29771107479556413,2,0,0,0,0,0,0
51,22,26,36.92369889145156,1,0.822306520818833,2,0,0,0,1,1,0
61,36,45,338.4241200889943,1,0.29771107479556413,2,197,0,0,0,0,0
30,5,26,151.10074043900542,4,0.29771107479556413,1,102,0,0,1,0,0
51,31,45,338.4241200889943,1,0.29771107479556413,3,0,0,0,1,0,0
30,12,81,151.10074043900542,2,0.29771107479556413,1,0,0,0,1,1,0
43,17,114,36.92369889145156,2,3.6082422857783967,3,283,0,0,1,0,0
54,36,45,151.10074043900542,4,2.493015665352419,3,0,0,0,0,0,0
61,36,45,417.13865888278247,2,0.29771107479556413,3,283,0,0,1,0,0
61,36,114,151.10074043900542,1,3.6082422857783967,1,0,0,0,1,1,0
43,12,114,338.4241200889943,2,1.6724294379772717,1,0,0,0,1,0,0
51,26,45,36.92369889145156,1,1.6724294379772717,2,0,0,0,1,0,0
39,12,45,151.10074043900542,3,1.6724294379772717,2,0,0,0,0,0,0
43,22,26,338.4241200889943,4,0.29771107479556413,2,0,0,0,1,1,0
43,22,114,151.10074043900542,1,6.364588438189673,1,0,0,0,0,0,0
54,22,81,36.92369889145156,3,2.493015665352419,1,0,0,0,1,1,0
30,5,81,338.4241200889943,2,2.493015665352419,1,0,0,0,0,1,0
30,12,45,338.4241200889943,4,2.493015665352419,3,0,0,0,1,0,0
51,26,81,338.4241200889943,1,2.493015665352419,3,0,0,0,1,0,0
54,22,45,151.10074043900542,3,1.6724294379772717,2,0,1,0,1,0,0
39,22,45,36.92369889145156,1,1.6724294379772717,3,0,0,0,1,0,0
54,17,26,151.10074043900542,2,0.29771107479556413,3,102,0,0,0,0,0
43,22,26,417.13865888278247,2,0.29771107479556413,1,0,0,0,1,0,0
54,31,26,151.10074043900542,3,0.29771107479556413,2,0,1,1,1,0,0
30,12,26,151.10074043900542,1,0.822306520818833,1,0,0,0,0,0,0
43,22,45,417.13865888278247,2,0.822306520818833,3,197,0,0,0,0,0
61,31,45,151.10074043900542,2,0.822306520818833,3,0,0,0,0,0,0
